08:07:39.635250 [INFO] === Test execution started ===
08:07:39.635262 [INFO] Output directory: reports/2026-08-26_08-07-39
08:07:39.635265 [INFO] Platform: 
08:07:39.635267 [INFO] Driver: uiautomator2
08:07:39.640346 [INFO] Validated 5 flow(s)
08:07:39.640377 [INFO] Single device execution mode
08:07:56.929826 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:56.949056 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:56.970069 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.024151 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.061737 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.082107 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.108261 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.121366 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.137297 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.152184 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.169385 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.182859 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.204399 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.220123 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.281372 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.322443 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.353211 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.372580 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.399537 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.415049 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.453825 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.490313 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.520071 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.562908 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.587200 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.628860 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.646908 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.662456 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.679863 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.694520 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.721310 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.759934 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.773627 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.792070 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.806680 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.830068 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.841557 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.884816 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:57.969883 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.010504 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.096515 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.113567 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.132872 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.153554 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.221767 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.250945 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.280449 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.302392 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.317765 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.339552 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.365651 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.389765 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.402164 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.414313 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.427948 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.442826 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.458462 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.477280 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.505452 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.519945 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.537786 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.557900 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.593748 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.611361 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.627991 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.645280 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.665754 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.695595 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.709999 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.735071 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.747620 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.779187 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.795998 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.807198 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.836772 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.861316 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.879998 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.895144 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.911870 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.945558 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.959841 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.981031 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:58.992325 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.010968 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.022620 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.046943 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.066166 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.083010 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.104884 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.122554 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.138709 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.154204 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.170298 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.189003 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.203568 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.215754 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.252066 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.269530 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.299895 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.313640 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.337018 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.351837 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.392551 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.437054 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.461952 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.475759 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.501084 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.534526 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.549275 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.578313 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.606915 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.645306 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.667448 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.693442 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.708115 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.726408 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.761676 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.772762 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.785600 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.800280 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.814178 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.824993 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.855146 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.870894 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.886384 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.908312 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.938508 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.960564 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.976303 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:07:59.991397 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.006366 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.019916 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.032670 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.047366 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.067345 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.094076 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.113811 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.130284 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.166903 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.179834 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.191495 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.202737 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.213426 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.230949 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.261193 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.274916 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.287865 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.299348 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.311173 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.333549 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.366569 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.384550 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.397286 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.438060 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.453342 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.489621 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.504333 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.516919 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.529431 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.541954 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.556178 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.566867 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.595556 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.612290 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.624110 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.638237 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.677017 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.713068 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.743878 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.787906 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.803984 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.821615 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.836054 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.855023 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.876422 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.894708 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.913231 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.959557 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.980121 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:00.998500 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.021680 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.038719 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.077313 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.100270 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.122642 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.141032 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.158536 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.200608 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.224189 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.250627 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.273111 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.307193 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.327544 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.356270 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.378674 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.398636 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.418592 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.453350 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.500263 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.521184 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.537745 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.592269 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.609685 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.636599 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.675720 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.696425 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.730377 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.749748 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.767268 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.781601 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.803809 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.832620 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.854154 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.888565 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.907129 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.925603 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
08:08:01.945553 [DEBUG] Flutter fallback: failed to get trees: no Flutter VM service found
